MYbSp,Time,CFU,logCFU
MYb53,36,960,2.982271233
MYb53,36,780,2.892094603
MYb53,36,140,2.146128036
MYb53,36,4400,3.643452676
MYb53,36,940,2.973127854
MYb53,36,100,2
MYb53,36,18000,4.255272505
MYb53,36,54000,4.73239376
MYb53,36,900,2.954242509
MYb53,36,720,2.857332496
MYb53,36,700,2.84509804
MYb53,36,1600,3.204119983
MYb53,36,5000,3.698970004
MYb53,36,7600,3.880813592
MYb53,36,48000,4.681241237
MYb53,42,600,2.77815125
MYb53,42,4800,3.681241237
MYb53,42,16000,4.204119983
MYb53,42,2600,3.414973348
MYb53,42,7200,3.857332496
MYb53,42,28000,4.447158031
MYb53,42,1800,3.255272505
MYb53,42,54000,4.73239376
MYb53,42,2000,3.301029996
MYb53,42,520,2.716003344
MYb53,42,5000,3.698970004
MYb53,42,4200,3.62324929
MYb53,42,440,2.643452676
MYb53,42,900,2.954242509
MYb53,42,9600,3.982271233
MYb53,42,7200,3.857332496
MYb53,42,54000,4.73239376
MYb53,42,4800,3.681241237
MYb53,42,4600,3.662757832
MYb53,42,680,2.832508913
MYb53,42,2600,3.414973348
MYb53,42,22000,4.342422681
MYb53,42,2800,3.447158031
MYb53,42,6000,3.77815125
MYb53,48,1480,3.170261715
MYb53,48,540,2.73239376
MYb53,48,116000,5.064457989
MYb53,48,38000,4.579783597
MYb53,48,5000,3.698970004
MYb53,48,2800,3.447158031
MYb53,48,20,1.301029996
MYb53,48,2800,3.447158031
MYb53,48,2200,3.342422681
MYb53,48,2400,3.380211242
MYb53,48,2000,3.301029996
MYb53,48,70000,4.84509804
MYb53,48,940,2.973127854
MYb53,48,4200,3.62324929
MYb53,48,42000,4.62324929
MYb53,48,720,2.857332496
MYb53,48,1560,3.193124598
MYb53,48,440,2.643452676
MYb53,48,980,2.991226076
MYb53,48,11200,4.049218023
MYb53,48,8000,3.903089987
MYb53,48,1800,3.255272505
MYb53,48,4000,3.602059991
MYb53,48,36000,4.556302501
MYb71,3,0,0
MYb71,3,336,2.526339277
MYb71,3,10,1
MYb71,3,0,0
MYb71,3,0,0
MYb71,3,0,0
MYb71,3,0,0
MYb71,3,0,0
MYb71,3,0,0
MYb71,3,0,0
MYb71,3,8,0.903089987
MYb71,3,0,0
MYb71,3,52,1.716003344
MYb71,3,2,0.301029996
MYb71,3,48,1.681241237
MYb71,3,28,1.447158031
MYb71,3,28,1.447158031
MYb71,3,4,0.602059991
MYb71,3,376,2.575187845
MYb71,3,26,1.414973348
MYb71,3,0,0
MYb71,3,0,0
MYb71,3,0,0
MYb71,3,0,0
MYb71,12,500,2.698970004
MYb71,12,2200,3.342422681
MYb71,12,20,1.301029996
MYb71,12,300,2.477121255
MYb71,12,500,2.698970004
MYb71,12,220,2.342422681
MYb71,12,2200,3.342422681
MYb71,12,40,1.602059991
MYb71,12,0,0
MYb71,12,0,0
MYb71,12,160,2.204119983
MYb71,12,0,0
MYb71,12,40,1.602059991
MYb71,12,160,2.204119983
MYb71,12,360,2.556302501
MYb71,12,0,0
MYb71,12,0,0
MYb71,12,0,0
MYb71,12,60,1.77815125
MYb71,12,0,0
MYb71,12,3800,3.579783597
MYb71,12,300,2.477121255
MYb71,12,20,1.301029996
MYb71,12,0,0
MYb71,18,4400,3.643452676
MYb71,18,2800,3.447158031
MYb71,18,5800,3.763427994
MYb71,18,28000,4.447158031
MYb71,18,360,2.556302501
MYb71,18,38000,4.579783597
MYb71,18,3400,3.531478917
MYb71,18,6000,3.77815125
MYb71,18,0,0
MYb71,18,140,2.146128036
MYb71,18,5800,3.763427994
MYb71,18,6600,3.819543936
MYb71,18,0,0
MYb71,18,5400,3.73239376
MYb71,18,6400,3.806179974
MYb71,18,4200,3.62324929
MYb71,18,24000,4.380211242
MYb71,18,60,1.77815125
MYb71,18,5400,3.73239376
MYb71,18,120,2.079181246
MYb71,18,3200,3.505149978
MYb71,18,4800,3.681241237
MYb71,18,52000,4.716003344
MYb71,18,5400,3.73239376
MYb71,24,58000,4.763427994
MYb71,24,70000,4.84509804
MYb71,24,56000,4.748188027
MYb71,24,5400,3.73239376
MYb71,24,20,1.301029996
MYb71,24,4400,3.643452676
MYb71,24,5000,3.698970004
MYb71,24,6400,3.806179974
MYb71,24,7200,3.857332496
MYb71,24,54000,4.73239376
MYb71,24,30000,4.477121255
MYb71,24,70000,4.84509804
MYb71,24,6000,3.77815125
MYb71,24,160,2.204119983
MYb71,24,8400,3.924279286
MYb71,24,140,2.146128036
MYb71,24,68000,4.832508913
MYb71,24,0,0
MYb71,24,560,2.748188027
MYb71,24,40000,4.602059991
MYb71,24,40,1.602059991
MYb71,24,52000,4.716003344
MYb71,24,5800,3.763427994
MYb71,24,44000,4.643452676
MYb71,36,156000,5.193124598
MYb71,36,0,0
MYb71,36,78000,4.892094603
MYb71,36,94000,4.973127854
MYb71,36,20,1.301029996
MYb71,36,0,0
MYb71,36,1060,3.025305865
MYb71,36,32000,4.505149978
MYb71,36,4800,3.681241237
MYb71,36,10400,4.017033339
MYb71,36,78000,4.892094603
MYb71,36,740,2.86923172
MYb71,36,0,0
MYb71,36,66000,4.819543936
MYb71,36,3400,3.531478917
MYb71,36,18000,4.255272505
MYb71,36,10600,4.025305865
MYb71,36,22000,4.342422681
MYb71,36,100000,5
MYb71,36,22000,4.342422681
MYb71,36,1800,3.255272505
MYb71,36,36000,4.556302501
MYb71,36,1800,3.255272505
MYb71,36,160000,5.204119983
MYb71,42,146000,5.164352856
MYb71,42,6600,3.819543936
MYb71,42,0,0
MYb71,42,5200,3.716003344
MYb71,42,0,0
MYb71,42,4000,3.602059991
MYb71,42,42000,4.62324929
MYb71,42,220,2.342422681
MYb71,42,6400,3.806179974
MYb71,42,9200,3.963787827
MYb71,42,704000,5.847572659
MYb71,42,460000,5.662757832
MYb71,42,70000,4.84509804
MYb71,42,140000,5.146128036
MYb71,42,40000,4.602059991
MYb71,42,142000,5.152288344
MYb71,42,18000,4.255272505
MYb71,42,60,1.77815125
MYb71,42,600000,5.77815125
MYb71,42,38000,4.579783597
MYb71,42,64000,4.806179974
MYb71,42,122000,5.086359831
MYb71,42,100,2
MYb71,42,32000,4.505149978
MYb71,48,66000,4.819543936
MYb71,48,102000,5.008600172
MYb71,48,11000,4.041392685
MYb71,48,82000,4.913813852
MYb71,48,26000,4.414973348
MYb71,48,10400,4.017033339
MYb71,48,108000,5.033423755
MYb71,48,42000,4.62324929
MYb71,48,92000,4.963787827
MYb71,48,104000,5.017033339
MYb71,48,172000,5.235528447
MYb71,48,3600,3.556302501
MYb71,48,568000,5.754348336
MYb71,48,132000,5.120573931
MYb71,48,48000,4.681241237
MYb71,48,1800,3.255272505
MYb71,48,36000,4.556302501
MYb71,48,36000,4.556302501
MYb71,48,96000,4.982271233
MYb71,48,72000,4.857332496
MYb71,48,18000,4.255272505
MYb71,48,44000,4.643452676
MYb71,48,18000,4.255272505
MYb71,48,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,3,NA,NA
MYb120,12,80,1.903089987
MYb120,12,40,1.602059991
MYb120,12,20,1.301029996
MYb120,12,100,2
MYb120,12,0,0
MYb120,12,560,2.748188027
MYb120,12,120,2.079181246
MYb120,12,20,1.301029996
MYb120,12,220,2.342422681
MYb120,12,100,2
MYb120,12,280,2.447158031
MYb120,12,20,1.301029996
MYb120,12,20,1.301029996
MYb120,12,20,1.301029996
MYb120,12,42000,4.62324929
MYb120,12,20,1.301029996
MYb120,12,20,1.301029996
MYb120,12,0,0
MYb120,12,20,1.301029996
MYb120,12,160,2.204119983
MYb120,12,0,0
MYb120,12,0,0
MYb120,12,100,2
MYb120,12,0,0
MYb120,18,0,0
MYb120,18,200,2.301029996
MYb120,18,40,1.602059991
MYb120,18,0,0
MYb120,18,60,1.77815125
MYb120,18,340,2.531478917
MYb120,18,720,2.857332496
MYb120,18,120,2.079181246
MYb120,18,0,0
MYb120,18,0,0
MYb120,18,60,1.77815125
MYb120,18,0,0
MYb120,18,20,1.301029996
MYb120,18,300,2.477121255
MYb120,18,700,2.84509804
MYb120,18,340,2.531478917
MYb120,18,140,2.146128036
MYb120,18,120,2.079181246
MYb120,18,20,1.301029996
MYb120,18,20,1.301029996
MYb120,18,0,0
MYb120,18,420,2.62324929
MYb120,18,140,2.146128036
MYb120,18,120,2.079181246
MYb120,24,18000,4.255272505
MYb120,24,320,2.505149978
MYb120,24,60,1.77815125
MYb120,24,4200,3.62324929
MYb120,24,80,1.903089987
MYb120,24,160,2.204119983
MYb120,24,8600,3.934498451
MYb120,24,5600,3.748188027
MYb120,24,3200,3.505149978
MYb120,24,100,2
MYb120,24,0,0
MYb120,24,380,2.579783597
MYb120,24,80,1.903089987
MYb120,24,0,0
MYb120,24,120,2.079181246
MYb120,24,40,1.602059991
MYb120,24,160,2.204119983
MYb120,24,680,2.832508913
MYb120,24,0,0
MYb120,24,20,1.301029996
MYb120,24,60,1.77815125
MYb120,24,40,1.602059991
MYb120,24,100,2
MYb120,24,0,0
MYb120,36,300,2.477121255
MYb120,36,0,0
MYb120,36,120,2.079181246
MYb120,36,0,0
MYb120,36,0,0
MYb120,36,260,2.414973348
MYb120,36,0,0
MYb120,36,20,1.301029996
MYb120,36,240,2.380211242
MYb120,36,140,2.146128036
MYb120,36,0,0
MYb120,36,20,1.301029996
MYb120,36,80,1.903089987
MYb120,36,0,0
MYb120,36,0,0
MYb120,36,0,0
MYb120,36,60,1.77815125
MYb120,36,0,0
MYb120,36,120,2.079181246
MYb120,36,120,2.079181246
MYb120,36,20,1.301029996
MYb120,36,300,2.477121255
MYb120,36,320,2.505149978
MYb120,36,220,2.342422681
MYb120,42,120,2.079181246
MYb120,42,140,2.146128036
MYb120,42,60,1.77815125
MYb120,42,3600,3.556302501
MYb120,42,40,1.602059991
MYb120,42,0,0
MYb120,42,200,2.301029996
MYb120,42,3400,3.531478917
MYb120,42,4200,3.62324929
MYb120,42,20,1.301029996
MYb120,42,3600,3.556302501
MYb120,42,200,2.301029996
MYb120,42,120,2.079181246
MYb120,42,0,0
MYb120,42,80,1.903089987
MYb120,42,140,2.146128036
MYb120,42,0,0
MYb120,42,80,1.903089987
MYb120,42,180,2.255272505
MYb120,42,40,1.602059991
MYb120,42,0,0
MYb120,42,60,1.77815125
MYb120,42,320,2.505149978
MYb120,42,0,0
MYb120,48,60,1.77815125
MYb120,48,20,1.301029996
MYb120,48,40,1.602059991
MYb120,48,200,2.301029996
MYb120,48,220,2.342422681
MYb120,48,120,2.079181246
MYb120,48,100,2
MYb120,48,260,2.414973348
MYb120,48,3800,3.579783597
MYb120,48,180,2.255272505
MYb120,48,800,2.903089987
MYb120,48,800,2.903089987
MYb120,48,400,2.602059991
MYb120,48,160,2.204119983
MYb120,48,140,2.146128036
MYb120,48,540,2.73239376
MYb120,48,100,2
MYb120,48,180,2.255272505
MYb120,48,260,2.414973348
MYb120,48,120,2.079181246
MYb120,48,80,1.903089987
MYb120,48,0,0
MYb120,48,20,1.301029996
MYb120,48,240,2.380211242
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,3,NA,NA
MYb238,12,0,0
MYb238,12,2000,3.301029996
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,200,2.301029996
MYb238,12,0,0
MYb238,12,800,2.903089987
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,200,2.301029996
MYb238,12,0,0
MYb238,12,600,2.77815125
MYb238,12,800,2.903089987
MYb238,12,200,2.301029996
MYb238,18,0,0
MYb238,18,0,0
MYb238,18,0,0
MYb238,18,800,2.903089987
MYb238,18,600,2.77815125
MYb238,18,0,0
MYb238,18,5600,3.748188027
MYb238,18,2000,3.301029996
MYb238,18,0,0
MYb238,18,0,0
MYb238,18,400,2.602059991
MYb238,18,20,1.301029996
MYb238,18,0,0
MYb238,18,60,1.77815125
MYb238,18,400,2.602059991
MYb238,18,0,0
MYb238,18,3000,3.477121255
MYb238,18,20,1.301029996
MYb238,18,2800,3.447158031
MYb238,18,0,0
MYb238,18,200,2.301029996
MYb238,18,0,0
MYb238,18,0,0
MYb238,18,800,2.903089987
MYb238,24,120,2.079181246
MYb238,24,40,1.602059991
MYb238,24,20,1.301029996
MYb238,24,40,1.602059991
MYb238,24,0,0
MYb238,24,0,0
MYb238,24,0,0
MYb238,24,0,0
MYb238,24,0,0
MYb238,24,0,0
MYb238,24,0,0
MYb238,24,0,0
MYb238,24,600,2.77815125
MYb238,24,3000,3.477121255
MYb238,24,2000,3.301029996
MYb238,24,6800,3.832508913
MYb238,24,100,2
MYb238,24,380,2.579783597
MYb238,24,0,0
MYb238,24,220,2.342422681
MYb238,24,200,2.301029996
MYb238,24,400,2.602059991
MYb238,24,NA,NA
MYb238,24,NA,NA
MYb238,36,980,2.991226076
MYb238,36,0,0
MYb238,36,0,0
MYb238,36,300,2.477121255
MYb238,36,0,0
MYb238,36,0,0
MYb238,36,440,2.643452676
MYb238,36,0,0
MYb238,36,0,0
MYb238,36,0,0
MYb238,36,6000,3.77815125
MYb238,36,0,0
MYb238,36,3200,3.505149978
MYb238,36,0,0
MYb238,36,60,1.77815125
MYb238,36,3200,3.505149978
MYb238,36,140,2.146128036
MYb238,36,9000,3.954242509
MYb238,36,0,0
MYb238,36,100,2
MYb238,36,10000,4
MYb238,36,0,0
MYb238,36,140,2.146128036
MYb238,36,13200,4.120573931
MYb238,42,60,1.77815125
MYb238,42,580,2.763427994
MYb238,42,9200,3.963787827
MYb238,42,20,1.301029996
MYb238,42,80,1.903089987
MYb238,42,20,1.301029996
MYb238,42,40,1.602059991
MYb238,42,0,0
MYb238,42,40,1.602059991
MYb238,42,0,0
MYb238,42,0,0
MYb238,42,0,0
